Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Markhyuck Cafe Event,Lainnya,"Jl. H. R. Rasuna Said No.C22 2, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",DKI Jakarta,Lucky Cat Coffee & Kitchen,13-Oct-2024
Online Class | Master of Ceremony with Rizqiani Putri,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",02-Dec-2024
Growbalization 2024: Sound of The Mighty Bhagawan,Musik,"Jl. Pantai Nyanyi, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 82121",Bali,Politeknik Internasional Bali,08-May-2024
TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",DKI Jakarta,"Teater Wahyu Sihombing, Taman Ismail Marzuki, ",28-Jun-2024
CALLING FEST TORAJA 2024,Musik,"Jl. Pongtiku No.33 , Makale Tana Toraja - Sulawesi Selatan",Sulawesi Selatan,"LAPANGAN KASIMPO, MAKALE, ",15-May-2024
Movement 2024,Lainnya,"Jl. Laswi No.7, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271",Bandung,"Bandung Creative Hub (Bch), ",13-May-2024
LAZE SHOWCASE - AGAR DIGDAYA,Musik,"Row9 Jl. Bulungan No.9, Kramat Pela, Kec. Kby Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia.",DKI Jakarta,KRAPELA,12-May-2024
Gedebage Jazz Festival,Musik,"JALAN GRAND BULEVAR SUMMARECON BANDUNG 1, RANCABOLANG, GEDEBAGE, KOTA BANDUNG, JAWA BARAT, 40295",Jawa Barat,"Summarecon Mall Bandung, ",12-May-2024
Indonesia Website Awards x WebDevTalk 2024,Education,"Cyber 2 Tower, Lantai 29 JL. HR Rasuna Said X5 No. 13",DKI Jakarta,"Aruba Room, The Kasablanka",20-Jun-2024
Indonesia Mom and Baby Expo IMOBY Surabaya 2024,Lainnya,"Jl. Letjend Soeprapto, Kel. SUmur Batu, Kec. Kemayoran, Jakarta Pusat",Dki Jakarta,Grand City Surabaya,05-May-2024
Anggota Bulanan Baca Di Tebet Pekan I Mei 2024,Education,"Daerah Khusus Ibukota Jakarta 12120Kec. Kby. Baru, Kota Jakarta Selatan",DKI Jakarta,"Tebet, Jakarta Selatan, 12120",05-May-2024
Crafting Characters: Developing Memorable Figures in Children's l,Education,"Taman Baloi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",Bandung,Bandung,25-Aug-2024
NgobrolSamaRezki eps 50 : Penanganan Trantrum pada Anak,Lainnya,"Taman Baloi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",Riau,Komplek Anggrek Mas 1 Blok,02-May-2024
ASPEK HUKUM SERTA TEKNIK DALAM PEMBUATAN AKTA PENDIRIAN PT PENANAMAN MODAL ASING (PMA),Bisnis,"Jl. Sekar Jagad No.36, RT.02/RW.03, Pajang, Kec. Laweyan,Surakarta",Surakarta,"Laweyan,Surakarta",20-Jun-2024
Offline Class | Training of Trainers: Step by Step Jadi Fasilitator ala Rizqiani Putri,Bisnis,"Jl.Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo,Hotel Cleo Jemursari,28-Nov-2024
10 INDONESIAN PRIVATE LESSONS,Education,"Jl.RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar",Nusa Tenggara Barat,"favehotel Langko Mataram, Nusa Tenggara Barat",13-Nov-2024
TEDxAvicenna : Cinere School,Bisnis,Bisnis,Nusa Tenggara Barat,Dilantern,25-Sep-2024
10 INDONESIAN PRIVATE LESSONS,Education,"Pendidikan, Beasiswa",Nusa Tenggara Barat,Bahasa Indonesia School,12-Jul-2024
Outing Belajar Membuat Jamu Herbal bersama Adik Binaan,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Yogyakarta,Pasar Minggu,05-Aug-2024
Sanggarku Melukis Ceria (Terbuka untuk umum),Budaya,"Jl.Margasatwa No.43 Ruko lt.2, Pondok Labu, Jakarta Selatan",DKI Jakarta,sanggarku,05-May-2024
Indonesia Mom and Baby Expo IMOBY Surabaya 2024,Lainnya,"Ruko Mega Grosir Cempaka Mas Blok D, No. 16, Jl. Letjend Soeprapto, Kel. SUmur Batu, Kec. Kemayoran, Jakarta Pusat",DKI Jakarta,Grand City Surabaya,05-May-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali,Bali Nusa Dua Theatre,05-Jul-2024
Jinland in Surabaya [Early Bird],Musik,Jakarta,DKI Jakarta,Hotel The Win Surabaya,05-May-2024
ARPA SELF PHOTO STUDIO,Education,"Jl. Arifin No.63, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129",Surakarta,ARPA SELF PHOTO STUDIO,05-May-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 ?4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,06-May-2024
Tiket Harian Baca Di Tebet 30 April - 05 Mei 2024,Education,"Jl Tebet Barat Dalam Raya No. 29, Tebet Barat, Tebet, Jakarta Selatan, 12120",DKI Jakarta,Pasar Minggu,05-May-2024
IBL 2024 : TANGERANG HAWKS VS SATRIA MUDA,Olahraga,"Jl.Margasatwa No.43 Ruko lt.2, Pondok Labu, Jakarta Selatan",Banten,Indoor Stadium Sport Center,08-Dec-2024
Bincang Santai : Dasar- Dasar Perawatan Defibrilator Philips,Lainnya,"Jl. Sutera Delima IV No.12, RT.3/RW.8, Pd. Jagung, Kec. Serpong Utara, Kota Tangerang Selatan, Banten 15326",Banten,Indoor Stadium Sport Center,16-Aug-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,20-Oct-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,07-Jun-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 ?4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,16-Jun-2024
INTEGRATED DIGITAL MARKETING STRATEGY,Bisnis,"AXA Tower 45th Floor, CEO Suite, Jl. Prof. DR. Satrio Kav. 18, Jakarta Selatan",Dki Jakarta,Neo Hotel,07-May-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,26-Sep-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,21-Jun-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"Jl.GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,27-Oct-2024
10 INDONESIAN PRIVATE LESSONS,Education,"Jl.RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,", Nusa Tenggara Barat,favehotel Langko Mataram,27-Jun-2024
Pertunjukan Teater Musikal: THE KABAYAN SHOW,Budaya,Jl. Buah Batu No. 212 Kota Bandung,Jawa Barat,GK. Sunan Ambu ISBI Bandung,08-May-2024
Bali Instagram Tour,Wisata,Jl.Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali,Bali Nusa Dua Theatre,27-May-2024
Indonesia Website Awards x WebDevTalk 2024,Education," Jl. HR Rasuna Said X5 No. 13, Cyber 2 Tower, Lantai 29", DKI Jakarta,"Aruba Room, The Kasablanka,",24-Oct-2024
Webinar Impaktif Leadership,Bisnis,"Jl. ITDC Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363",Bali,Bali Nusa Dua Theatre,12-Sep-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali,Bali Nusa Dua Theatre,19-Aug-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,01-Nov-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,12-May-2024
STRATEGI PENANGANAN PERIZINAN BADAN HUKUM MELALUI SISTEM OSS RBA,Bisnis,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,03-May-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,22-Nov-2024
Dragon for Sale (Staycation),Lainnya,"Jl. Pantai Indah No.7, Ancol Dermaga Cinta Beach Pool, ",DKI Jakarta,Bioskop online.com,09-May-2024
The Drums Asia Tour 2024: Live in Jakarta,Musik,"Jl. Pantai Indah No.7, Ancol",DKI Jakarta,Bengkel Space,20-May-2024
FunLearning Piknik ke Archaeological Park Bersama Lansia dan Anaknya,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Sulawesi Selatan,"Universitas Muslim Indonesia, ",08-Oct-2024
10 INDONESIAN PRIVATE LESSONS,Education,"Jl.RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,25-Aug-2024
Cikal Pop Up Class - Let's Play with Water 11 Mei 2024 - Bandung,Lainnya,"Jl. Lebak Bulus II no. 16A, Cilandak, Jakarta Selatan",Jawa Barat,Rumah Main Cikal Bandung,28-Oct-2024
Airbnb Host Coaching,Bisnis,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta",D.I. Yogyakarta,Blanco Coffee And Books,13-Nov-2024
Resurrection vol 8 *spirit of the borneo*,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Kalimantan Barat,Mempawah kalimantan barat,05-May-2024
Indonesia GTAV Master Championship,Olahraga,"Jl. Golf Island Blok D No.70 Kamal Muara, Penjaringan, Jakarta Utara", DKI Jakarta,Auditorium UNAS,23-Aug-2024
Bali Instagram Tour,Wisata,Jl. Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali,Bali Nusa Dua Theatre,27-Jun-2024
Nusa Penida Tour For Couples,Wisata,"Jl. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119", Bali,Nusa Penida Island,19-Nov-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"Jl. GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,29-Jun-2024
Seni Mengembangkan Imajinasi Menjadi Narasi,Education,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung,Saparua Sports Complex,28-Sep-2024
ASPEK HUKUM JAMINAN SOSIAL TENAGA KERJA DI INDONESIA,Bisnis,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung,Saparua Sports Complex,01-Dec-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,19-Jul-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,30-Dec-2024
ARPA SELF PHOTO STUDIO,Education,"Jl. Arifin No.63, Kepatihan Kulon, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129",Surakarta,ARPA SELF PHOTO STUDIO,27-Jun-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,13-Sep-2024
One Fine Day Belanja dan Makan Bersama Buruh Harian,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Sumatera Selatan,Waroeng Steak & Shake Angkatan 66,10-Oct-2024
PANDUAN CERDAS MEMAHAMI UNDANG-UNDANG JABATAN NOTARIS DAN KODE ETIK NOTARIS (KEN),Bisnis,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung, Paledang,15-May-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,20-Jul-2024
Le Laguan with Reality Club,Musik,Jl Kanjeng Dalem No.Pertigaan, Banten,Dom Social Hub,30-Oct-2024
LEDAKAN #6: Story of Us,Lainnya,"Jl. Kemang Utara Jl. Bangka Raya No.1, RT.4/RW.1, Bangka, Mampang Prapatan, South Jakarta City, Jakarta 12730",DKI Jakarta,Metro Cinema Kemang,12-May-2024
IBL 2024 : Prawira Harum Bandung VS Tangerang Hawks Banten & Bima Perkasa Jogjakarta,Olahraga,"Jl. Cikutra No.278, Neglasari, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40124",Bandung,GOR C-Tra Arena,12-May-2024
PEKAN GEMBIRA RIA VOL 7,Musik,"Parkir Barat, East Pademangan, Pademangan, North Jakarta City, Jakarta 14410"," Jakarta, DKI Jakarta","Parkir Barat, JIExpo, Kemayoran",12-May-2024
Malang Mods Mayday 2024,Lainnya,"Jalan Lembah Dieng G1 no. 1, Sumberjo, Pisang Candi, Sukun, Malang Regency, East Java 65146",Malang,KLX EXPRESS,02-Jul-2024
Gedebage Jazz Festival,Musik,"JALAN GRAND BULEVAR SUMMARECON BANDUNG 1, RANCABOLANG, GEDEBAGE, KOTA BANDUNG, JAWA BARAT, 40295",Bandung,Summarecon Mall Bandung,12-May-2024
LAZE SHOWCASE - AGAR DIGDAYA,Musik,"Row9 Jl. Bulungan No.9, Kramat Pela, Kec. Kby Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia.", DKI Jakarta,KRAPELA GADING,12-May-2024
KREASI RAGAM TARIAN INDONESIA 2024 (SAYEMBARA NUSANTARA),Budaya,"Row9 Jl. Bulungan No.9, Kramat Pela, Kec. Kby Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia.",DKI Jakarta,Gedung Kesenian Miss Tjitjih,28-May-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,"Nusa Penida Island, ",07-Sep-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,21-Aug-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,03-Oct-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,09-Aug-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,19-May-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali,Bali Nusa Dua Theatre,14-Jun-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,"GWK Bali, ",11-Oct-2024
Certified International Executive Assistant (CIEA),Bisnis,Jabodetabek,DKI Jakarta,Online Training,15-May-2024
Berkreasi Topeng dan Belajar Budaya Betawi Bersama Teman Disabilitas,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",DKI Jakarta,SLB Swakarya,30-Jul-2024
Data Science with Python for Beginner,Education,Menara Kadin Lt. 4. Jl. H. Rasuna Said Kav X 2 No. 5,Jakarta,Menara Kadin,16-May-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119", Bali,Nusa Penida Island,27-Jun-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,15-Sep-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,13-Jun-2024
PELATIHAN PENDIDIKAN HOLISTIK BERBASIS KARAKTER (PHBK) UNTUK GURU PAUD,Education,Jalan Raya Bogor Km 31 No.46 Cimanggis Depok,Depok,"Gedung HTC IHF, Jl. Raya Bogor Km 31 No. 46, Depok",16-May-2024
Introduction to Space Electronics : From System Design to Product Launch,Education,"Jl. Teuku Umar Barat (Marlboro) No.88, Pemecutan Kelod, Denpasar Barat",Bali,GWK Bali,19-Jun-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,09-Oct-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,15-May-2024
Webinar: Mengenal dan Mengatasi Kecemasan Akademik,Bisnis,". Setiabudi 2 Lt. 2 Suite 207 B-C, Jl. HR Rasuna Said Kav. 62 RT 009 RW 005 Karet, Setiabudi, Jakarta Selatan 12920",DKI Jakarta,Estubizi Business Center Gd,03-May-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,04-May-2024
#PemadamKelaparan Jumat Berkah Kreasi Sains dan Berbagi Makanan Adik Binaan,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",DKI Jakarta,Yayasan Daarul Berkah Rahman,07-Sep-2024
ET-Asia Intensive Bootcamp: Strategi Penanganan Perizinan Perusahaan Melalui OSS RBA,Education," Jl. HR. Rasuna Said Kav.62 Karet, Kuningan, Jakarta, Indonesia, 12920",Dki Jakarta,"Setiabudi 2 Building, Lantai 2",17-May-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",D.I. Yogyakarta,favehotel Langko Mataram,06-Dec-2024
Belajar Beternak Kambing dan Berbagi Sembako dengan Petani Lansia,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550", DKI Jakarta,Jakarta,11-Oct-2024
"Webinar & Talkshow ""Bisnis Playground: Modal Ringan, Cuan Menguntungkan""",Bisnis,"Komplek Kota Wisata COMMPARK Blok A No.16, Limus Nunggal, Cileungsi, Bogor Regency, West Java 16820",DKI Jakarta,Bursa Efek Indonesia,20-May-2024
Market Outlook Shariah - Looking Ahead 2H2024,Bisnis,"Revenue Tower Lt 10-11 District 8 SCBD, Jalan Jendral Sudirman Kav 52-53, Jakarta 12190",DKI Jakarta,"The Moove, Gafoy, Summarecon Mall Kelapa Gading",07-Oct-2024
Dog Yoga with Beyond Bliss 18 May 2024,Lainnya,Summarecon Mall Kelapa Gading,DKI Jakarta,"The Moove, Gafoy, Summarecon Mall Kelapa Gading",27-Sep-2024
Online Class | Public Speaking for Kids,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo,HETERO SPACE,31-Dec-2024
ROCKAROMA THREESIXTY LEGACY TOUR PURWOKERTO,Musik,"DELTA ASRI NO 86, NGINGAS WARU SIDOARJO",Sidoarjo,DELTASARI BARU,14-Aug-2024
KONSER DEKADE,Musik," Jalan Raya Taman Mini Pintu 1 Kelurahan Ceger, Cipayung Jakarta Timur 13820.",DKI Jakarta,"Gedung Sasono Langen Budoyo, TMII",01-Nov-2024
Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,24-Sep-2024
Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,09-Oct-2024
Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 №4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI", Bali,GWK Bali,04-Nov-2024
Workshop Parracord Collar 18 Mei 2024,Lainnya,Summarecon Mall Kelapa Gading,DKI Jakarta,"The Moove, GAFOY, Summarecon Mall Kelapa Gading",11-Sep-2024
TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",DKI Jakarta,"Teater Wahyu Sihombing, Taman Ismail Marzuki",16-Jun-2024
Walking Tour & Membuat Sabun Bersama Ibu-Ibu di Desa Binaan,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",DKI Jakarta,Stasiun Tanahabang,19-May-2024
10 INDONESIAN PRIVATE LESSONS,Education,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,08-Oct-2024
ZOO JIVE 2024,Bisnis,"North Jakarta, Kemayoran, Jakarta, Jakarta, Indonesia",DKI Jakarta,Jiexpo Kemayoran,24-Dec-2024
Waku-Waku Festival Vol.3,Bisnis,"Jl.Gatot Subroto Kav.95, Tanah Abang, Jakarta Pusat Kota, Jakarta, Indonesia",Dki Jakarta,Smesco Exhibition Convention Hall,23-Jul-2024
Market East Festival (MarkEast Fest),Bisnis,"Q96C+QRG, Kayu Merah, Kecamatan Ternate Selatan, Ternate Kota, Maluku, Indonesia",Maluku,Waterboom Ternate,02-Jun-2024
Taman Mini Indonesia Indah (TMII),Budaya,"Ceger, Cipayung, Cipayung, Jakarta Timur, Jakarta, Indonesia",Jakarta Timur,Taman Mini Indonesia Indah (TMII),23-Jun-2024
Saloka Fest 2024,Budaya,"Jl. Fatmawati No.154, Gumuksari, Lopait, Kec. Tuntang, Semarang, Jawa Tengah, Tuntang, Semarang Kabupaten, Jawa Tengah, Indonesia",Semarang Kabupaten,Saloka Theme Park,23-Jun-2024
IMPACTNATION Japan Festival 2024,Budaya,"Jl. Pintu Satu Senayan, Jakarta Pusat, Jakarta, Indonesia",Jakarta Pusat,Istora Senayan,21-Jul-2024
Gumuh Sari Rekreasi,Budaya,"Jl. Tegal Gumuh No.9, Darmasaba, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Bali, Bali, Indonesia",Bali,Gumuh Sari Rekreasi,22-Aug-2024
Museum Patah Hati Bandung,Budaya,"Jl. Braga, Braga, Bandung, Jawa Barat, Indonesia",Bandung,Braga Citywalk,13-Jul-2024
Museum Batak TB Silalahi Center,Budaya,"Jl. DR. TB Silalahi No. 88, Silalahi Pagar Batu, Balige, Silalahi Pagar Batu, Balige, Kabupaten Toba, Balige, Toba Samosir Kabupaten, Sumatera Utara, Indonesia",Toba Samosir Kabupaten,Museum Batak TB Silalahi Center,24-Jul-2024
Udjo Ecoland,Budaya,"4MC4+WG8, Cimenyan, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40197, Cimenyan, Bandung, Indonesia",Cimenyan,Udjo Ecoland,25-Aug-2024
Museum Patah Hati,Budaya,"Jl. Jenderal Sudirman No.KAV 23, Kuningan, Karet, Kecamatan Setiabudi, JAKARTA, Daerah Khusus Ibukot, Sudirman, Jakarta, Indonesia",Sudirman,CHILLAX SUDIRMAN,26-Jul-2024
Kreasi Rajut Adkk,Budaya,"Tempel Balerejo Kaliangkrik - Magelang 56153, Indonesia, Jakarta, Indonesia",Indonesia,Kreasi Rajut Adkk,27-Sep-2024
SEOUL BEATS KOREAN FESTIVAL,Budaya,"Jl. Ki Hajar Dewantara RT. 2 / RW. 4, Cikarang, Bekasi Kabupaten, Jawa Barat, Indonesia",Bekasi Kabupaten,President University,20-May-2024
Pesona Wastra Nusantara,Budaya,"Jl. Aceh No. 66, Bandung Kota, Bandung, Jawa Barat, Indonesia",Bandung,Graha Manggala Siliwangi,20-Jun-2024
ELFEST 2024,Entertainment,"Cimahi, Kecamatan Cimahi Tengah, Cimahi Kota, Jawa Barat, Indonesia",Cimahi,Cimahi,18-May-2024
Berani Jadi Beda Festival Bersama ATF - Solo,Entertainment,"CQVW+49P, Kerten, Kecamatan Laweyan, Surakarta Kota, Jawa Tengah, Indonesia",Surakarta,LOKANANTA,18-May-2024
FIX NEMEN NDX AKA,Entertainment,"Jl. Jend. Ahmad Yani No.66, Dafam Cilacap, Sidakaya, Kecamatan Cilacap Selatan, Cilacap Kabupaten, Jawa Tengah, Indonesia",Pangandaran,Shaolin Music,23-May-2024
