Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Kursus Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jl. Sisingamangaraja No. 328 Medan,Medan,Grand Antares,27-Apr-2024
Workshop Pagelaran Wayang Kulit & Gelar Budaya,Education,"Jl. Hang Tuah No.7, Talang Semut, Kec. Bukit Kecil",Palembang,ENAMDUA Coffee and Eatery,27-Apr-2024
Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jalan Srijaya Negara,Palembang,UKM Seni Polsri,12-Dec-2023
Komik digital : cara seru baca sejarah dan budaya,Education,jalan pangeran ario kesuma nomor 204,palembang,mindset cafe,10-Dec-2023
Membangun negeri yang berbudaya & berdedikasi,Bisnis,jalan bungur 15,pekalongan,one sixteen,04-Dec-2023
Kursus Budaya dan Etika dalam Perjalanan,Wisata,Jl. Puri No.12 Medan,Medan,Residence Puri,26-Oct-2023
Pendidikan agama & kebudayaan di milenial.,Education,"Jl. Wolter Monginsidi No.33, Tj. Karang",Lampung,Liep's Cafe,20-Oct-2023
Sukma tradisi dalam seni budaya masa kini,Education,"Jl. Merdeka No.10B, Sumerta Kelod, Kec. Denpasar ",Bali,The Alleyway Cafe,27-Sep-2023
Workshop membership sejarah vespa.,Lainnya,"Jl. Rw. Belong No.2, RT.7/RW.15, Palmerah, Kec. Palmerah",jakarta,COTECA cafe ,30-Dec-2024
Workshop BMX Competition (Membership),Olahraga,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung,Atmosphere Resort Caf̩,25-Dec-2024
[Reguler-Swasta] Yakin Mau Jadi Guru?!,Education,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas",Banyumas,Ruang B105 Fakultas Ilmu Budaya Unsoed,02-May-2024
[Presale-Negeri] Yakin Mau Jadi Guru?!,Education,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas",Purwokerto,Ruang B105 Fakultas Ilmu Budaya Unsoed,02-May-2024
Workshop Mengenal Sejarah Sunan Drajat dengan Gaya Seni Fantasi,Education,"Dermaga Cinta Beach Pool, Jl. Pantai Indah No.7, Ancol",Jakarta,Le Bridge,30-Apr-2024
Workshop Membahas Meriahnya Hari Raya Idul Fitri,Education,"Jl. Taman Kebon Sirih 1 No.3, Kp. Bali, Kecamatan Tanah Abang",Jakarta,Langit Seduh Rooftop,27-Apr-2024
HIP HOP DANCE CLASS,Musik,Jl Jend Ahmad Yani No.100 Medan,Medan,Medan Musik,06-Apr-2024
Petualangan Kuliner di Yogyakarta: Menuju Kelezatan Tradisional (Member Only),Wisata,Jalan Dr. T. Mansur No.9,Medan,Aula Kampus USU - Medan,16-Feb-2024
Beauty Talkshow,Entertainment,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta",DI Yogyakarta,Blanco Coffee And Books,04-Feb-2024
Petualangan Menjelajah Kerajaan Melayu di Jambi untuk Arkeolog,Wisata,"Jalan Dr. T. Mansur No.9, Padang Bulan",Medan,Kampus USU,31-Jan-2024
Coffee Fest 2024,Lainnya,Jl. Tuba III,Medan,Lexi Coffe,25-Jan-2024
Batik Talk With Shinta Wendha,Entertainment,"Krodan, Maguwoharjo, Depok, Sleman Regency, Special Region of",DI Yogyakarta,LUK Coffee & Book,21-Jan-2024
Workshop Kesenian Tari Bali,Education,"Tengah No 19 Denpasar, Jl. Pidada, Ubung, Kec. Denpasar Utara, Kota De",Bali,hotel mega,21-Jan-2024
Pameran Seni Lukis Bali,Education,"Jl. Mertanadi No.22B, Kerobokan Kelod, Kec. Kuta Utara, Badung,",Bali,Purpa Fine Art Gallery Seminyak,21-Jan-2024
Kursus Bahasa Asing untuk Bepergian,Wisata,Jl. Gajah Mada No.53 Medan,Medan,Gajah Mada Hotel,17-Jan-2024
Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Lampung,Banana Island,07-Jan-2024
Open Recruitment Penari Tari Merak,Musik,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta",DI Yogyakarta,Taman Budaya Yogyakarta,28-Dec-2023
